"date","c		","a","y","cay","cay^MS"
"2006:04",10.3442266118,12.3736916301,10.1666930979,-0.013370299,-0.018880516
"2007:01",10.346997716,12.3764362808,10.1801191466,-0.021433953,-0.02508916
"2007:02",10.3466568672,12.3749321241,10.1736180779,-0.016506649,-0.021036257
"2007:03",10.3468830235,12.3674166299,10.1722459222,-0.014271858,-0.018007206
"2007:04",10.3456745517,12.3389393885,10.1720830618,-0.011805447,-0.011695372
"2008:01",10.3454943004,12.2939456103,10.1746258326,-0.008367767,-0.001717246
"2008:02",10.3448699784,12.2589637772,10.1953254013,-0.020811467,-0.005968591
"2008:03",10.3380263016,12.2084123773,10.1685745196,-0.00045104,0.016826342
"2008:04",10.33247452,12.1443358471,10.1814341538,-0.008070544,0.020054461
"2009:01",10.3268103724,12.1177468163,10.1843741531,-0.01272001,0.019508615
"2009:02",10.3211675756,12.12842945,10.2022127457,-0.033634981,0.000101537
"2009:03",10.320007711,12.1493013397,10.1918150966,-0.02926894,-0.000096301
"2009:04",10.3197126103,12.1533757593,10.189431224,-0.028208555,1.43915E-005
"2010:01",10.3213601601,12.1643101681,10.1885539169,-0.027237538,-0.000647098
"2010:02",10.3247330427,12.1500746943,10.2007600192,-0.031630662,-0.001078652
"2010:03",10.3286152424,12.1728932484,10.2039889701,-0.03311464,-0.005129702
"2010:04",10.3338555228,12.2054514719,10.2032556215,-0.031357225,-0.007921397
"2011:01",10.3362923289,12.221628409,10.2088941076,-0.035342326,-0.01317052
"2011:02",10.3386753644,12.2161306697,10.2019480678,-0.026845873,-0.005079253
"2011:03",10.3418206971,12.1712061713,10.2009807874,-0.017348035,0.010367069
"2011:04",10.3424752012,12.1945175433,10.1940158951,-0.014154325,0.009234883
"2012:01",10.3458523818,12.2234347402,10.2059382348,-0.023697202,-0.002261595
"2012:02",10.3490547171,12.2215712193,10.2073454528,-0.021362496,0.000560067
"2012:03",10.3490584383,12.2475053631,10.2051451062,-0.022869933,-0.004839179
"2012:04",10.3489939753,12.2599722593,10.2178212457,-0.034394245,-0.015955009
"2013:01",10.3519093928,12.2971866069,10.1942464136,-0.017690469,-0.008224364
"2013:02",10.3529827083,12.3154370762,10.1994705098,-0.022973517,-0.015122174
"2013:03",10.354717075,12.3335988969,10.2022228785,-0.025652746,-0.019814328
